,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,-0.12321341,-0.97090521,-0.16126549,-0.40774707,-0.99229974,-0.25754888,-0.74544878,-0.95799295,-0.97861401,-0.99216475,-0.087159695,0.89205451,-1.0,0.72086167,-0.1289889,-0.99994465,0.71130003,-0.22031685,0.37731121
1,-0.11489334,-0.97058275,-0.16134256,-0.71489166,-0.99074179,-0.048167435,-0.19635929,-0.97824725,-0.98934472,-0.9898762,-0.018075169,0.89206031,-1.0,0.12534464,-0.27195846,-0.9999913,0.10909013,-0.14025958,-0.45855331
2,-0.11489334,-0.97036812,-0.16371122,-0.59223514,-0.98713045,-0.21668507,-0.32902304,-0.98832678,-0.99514432,-0.98786802,0.07371785900000001,0.89240056,-1.0,0.27050025,-0.2127279,-0.99996908,0.25759764,-0.1139172,0.090519474
3,-0.12133575,-0.96939971,-0.16371122,-0.62744626,-0.99090865,0.21686246,-0.29503597,-0.98643053,-0.99416532,-0.99124052,0.14045188,0.89381715,-1.0,0.22830973,-0.035684195,-0.99997554,0.20480094,-0.16511393,-0.5720876
4,-0.12183357,-0.96705115,-0.1667862,-0.78655253,-0.99451316,-0.15334258,-0.16669311,-0.9911703000000002,-0.99333669,-0.99288226,0.10748923,0.89381715,-1.0,0.089942719,-0.27358201,-0.99999061,0.067131104,-0.23327097,-0.33959682
5,-0.12183357,-0.9673206,-0.16697042,-0.75186908,-0.99373357,-0.36303968,-0.1981248,-0.99500944,-0.99299403,-0.99301959,0.18667289,0.89368344,-1.0,0.12718522,-0.29732906,-0.99998547,0.11136448,0.030283565,-0.004027766
6,-0.12009236,-0.96926606,-0.16557052,-0.63718496,-0.99028337,-0.30712543,-0.42266954,-0.98675558,-0.99191006,-0.99009612,0.20393143,0.89336965,-1.0,0.37392632,-0.25703213,-0.99998182,0.36714294,-0.1014818,-0.40601417
7,-0.12855866,-0.96803308,-0.16557052,-0.63323942,-0.99117705,-0.088135904,-0.47061829,-0.97650361,-0.98952779,-0.99104759,0.20803026,0.89420478,-1.0,0.42100668,-0.19727152,-0.99997978,0.40461434,-0.18277234,-0.18073528
8,-0.12976410000000002,-0.96412344,-0.1678811,-0.68311724,-0.99314799,-0.1840546,-0.32868686,-0.97897119,-0.99523895,-0.99257464,-0.14109889,0.89420478,-1.0,0.26304838,0.073417207,-0.99998544,0.2363587,-0.28410699,-0.34613047
9,-0.12976410000000002,-0.96313738,-0.17596367,-0.55072132,-0.98537015,-0.17276785,-0.36230751,-0.98837827,-0.99131021,-0.98354788,0.089193195,0.89477777,-1.0,0.31604952,-0.13996636,-0.99996282,0.32333038,0.053306766,-0.41161399
